$$Name$Pricebook2.Name,AdjustmentMethod,Id,IsActive,Name,Pricebook2.Name,Pricebook2Id,ScheduleType
Standard Price Adjustment Tier;Standard Price Book,Range,84X3y0000008RMNEA2,false,Standard Price Adjustment Tier,Standard Price Book,01s3y000000hl4OAAQ,Volume
Standard Attribute Based Adjustment;Standard Price Book,Range,84X3y0000008RMMEA2,true,Standard Attribute Based Adjustment,Standard Price Book,01s3y000000hl4OAAQ,Attribute
Standard Bundle Based Adjustment;Standard Price Book,Range,84X3y0000008RMLEA2,true,Standard Bundle Based Adjustment,Standard Price Book,01s3y000000hl4OAAQ,Bundle
